"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001177875.2",29.0401011424963,8.67512295630291,3.78710494000106,2.29070044103412,0.0219807451081072,0.592129891090382
"NR_190764.1",5,6.13726273587379,4.33774703048304,1.41485031117418,0.157112389290481,0.592129891090382
"NR_190765.1",11.4482909133259,-0.241642682283905,3.65100760292089,-0.0661852038025298,0.947230376599082,0.988028457888941
"NM_001429699.1",16.0906602282493,-1.25792782953828,3.65140172396163,-0.344505459720677,0.730466190788192,0.885154408085953
"NM_001363570.2",4.16425543703703,-1.43162989215864,4.13762411210797,-0.346002887978453,0.729340544347422,0.885154408085953
"XM_005248729.6",5.89814254295444,-5.71748387219724,3.64444291624323,-1.56882245204459,0.116689315312838,0.592129891090382
"XM_011535918.4",4.4,5.95286620273607,4.33907589534539,1.37192027664734,0.170088257418668,0.592129891090382
"XM_054355760.1",2.4765393291298,5.123130571491,4.34767567305636,1.17836079706689,0.23865279956603,0.592129891090382
"XM_054355761.1",1.57117285991863,-3.80792891536253,4.4363675049904,-0.858343884062593,0.390702604049678,0.623099488688274
"NM_000939.4",21.4783708070612,3.10008523668759,3.61030713352631,0.85867631811691,0.390519119520029,0.623099488688274
"NM_001319205.2",32.5631385610895,-0.307358595062322,3.22037404907181,-0.0954418928915756,0.923963842215294,0.98488453510861
"NM_001035256.3",4.58258750809601,-5.35397796112672,4.41734770869398,-1.21203453162388,0.225499162479381,0.592129891090382
"NM_001354666.3",2.55315589736778,-4.50866824388121,4.42524881035525,-1.01885078943601,0.308273809279013,0.592129891090382
"NM_138712.5",4.9530786582596,6.1232935908415,4.33784187534365,1.41159907779174,0.158068044103529,0.592129891090382
"NM_005037.7",6,-5.7413586938688,4.41500946915462,-1.30041820611727,0.193457673344598,0.592129891090382
"NM_001354669.2",1.3747762524288,-3.61517286410883,4.44049129387757,-0.814138036728803,0.415565877744369,0.629842033456309
"NM_001354667.3",3.2,5.49351972452222,4.34322567408318,1.26484786579317,0.205925869018016,0.592129891090382
"NM_001374262.3",0.825513109709933,3.53749899547365,4.3868130294972,0.806393838006609,0.420015798799182,0.631651666411173
"NM_001330615.4",4.39928400777217,-5.29512385578539,4.41776102493814,-1.19859897941391,0.230683915234491,0.592129891090382
"NM_001374266.1",2.55315589736778,-4.50866824388121,4.42524881035525,-1.01885078943601,0.308273809279013,0.592129891090382
"NM_001354670.2",0.2,1.50933716146866,4.56083217121439,0.330934598075066,0.740693887539829,0.885154408085953
"NM_001374264.2",3.8,5.7413983690324,4.34082370964653,1.32265181750491,0.185951193656086,0.592129891090382
"XM_017006982.2",4.8,-5.41931946268759,4.41690811560167,-1.22694865296046,0.219841890490685,0.592129891090382
"XM_047448661.1",8.61474251100277,0.0435332262208331,4.1207858028304,0.0105643021267769,0.991571063222196,0.991571063222196
"XM_011533980.1",3,5.4004306907195,4.34423939245063,1.24312456171368,0.213821936087253,0.592129891090382
"XM_047448663.1",5.13249800906754,-5.51737444426804,4.41628461479789,-1.2493249247978,0.211546255128286,0.592129891090382
"NM_001308293.2",18.3624878250248,1.41826055005097,4.17623141249704,0.339602960172882,0.734155548601839,0.885154408085953
